parent_experiment_id,model_key,task,text_source,subset_name,n,unstable_small_n,primary_metric,observed_primary_score,all_articles_primary_score,observed_minus_all,n_predicted_ok,n_parse_error,coverage,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,exact_match_accuracy,micro_precision,micro_recall,micro_f1,jaccard,hamming_loss,majority_accuracy,majority_balanced_accuracy,majority_macro_f1,delta_vs_majority_balanced_accuracy,majority_labelset_exact_match_accuracy,empty_set_exact_match_accuracy
article_text_classification_e2e_with_shuffled_control_v1,qwen,corine_level2,summary_no_place_shuffled,uncertainty_low_medium,805,False,balanced_accuracy,0.061839595453495405,0.05831025383965042,0.003529341613844987,805,0,1.0,0.1031055900621118,0.061839595453495405,0.10559772179163428,0.061839595453495405,0.06965407652868794,0.13649869898706576,,,,,,,0.4608695652173913,0.1111111111111111,0.0701058201058201,-0.0492715156576157,,
article_text_classification_e2e_with_shuffled_control_v1,qwen,corine_level2,summary_no_place_shuffled,relevance_medium_high_and_spatial_250m_ge_0.8,321,False,balanced_accuracy,0.06306739678289197,0.05831025383965042,0.004757142943241553,321,0,1.0,0.13707165109034267,0.06306739678289197,0.12316597987273287,0.06306739678289197,0.06827263510033237,0.1987654082105299,,,,,,,0.5825545171339563,0.1111111111111111,0.08180227471566054,-0.048043714328219134,,
article_text_classification_e2e_with_shuffled_control_v1,qwen,corine_level2,summary_no_place_shuffled,relevance_high_and_spatial_250m_ge_0.8,157,False,balanced_accuracy,0.05846560846560847,0.05831025383965042,0.00015535462595805266,157,0,1.0,0.11464968152866242,0.05846560846560847,0.12131633798300465,0.05846560846560847,0.0651749437279153,0.16373852013016582,,,,,,,0.4140127388535032,0.1111111111111111,0.06506506506506507,-0.052645502645502634,,
article_text_classification_e2e_with_shuffled_control_v1,qwen,corine_level2,summary_no_place_shuffled,evidence_sentences_count_ge_1_and_spatial_250m_ge_0.8,437,False,balanced_accuracy,0.0674357139521074,0.05831025383965042,0.009125460112456983,437,0,1.0,0.12128146453089245,0.0674357139521074,0.12942956651112464,0.0674357139521074,0.07327369800329632,0.17654690297680012,,,,,,,0.6247139588100686,0.1111111111111111,0.08544600938967135,-0.043675397159003704,,
article_text_classification_e2e_with_shuffled_control_v1,qwen,corine_level2,summary_no_place_shuffled,quality_high_or_very_high,662,False,balanced_accuracy,0.051461992174732546,0.05831025383965042,-0.006848261664917872,662,0,1.0,0.09516616314199396,0.051461992174732546,0.09560422184364964,0.051461992174732546,0.057944119518963305,0.13106563538902377,,,,,,,0.4788519637462236,0.1111111111111111,0.07195551015775735,-0.05964911893637856,,
article_text_classification_e2e_with_shuffled_control_v1,qwen,corine_level2,summary_no_place_shuffled,quality_very_high,367,False,balanced_accuracy,0.06928920996085175,0.05831025383965042,0.010978956121201332,367,0,1.0,0.11716621253405994,0.06928920996085175,0.11200397410650492,0.06928920996085175,0.0729557901487726,0.15445625872128094,,,,,,,0.4250681198910082,0.1111111111111111,0.06628425748884641,-0.041821901150259355,,
article_text_classification_e2e_with_shuffled_control_v1,qwen,corine_level2,summary_no_place_shuffled,quality_high_or_very_high_and_spatial_250m_ge_0.8,388,False,balanced_accuracy,0.059184829386849595,0.05831025383965042,0.0008745755471991773,388,0,1.0,0.12628865979381443,0.059184829386849595,0.12020195522390725,0.059184829386849595,0.06361114936479316,0.18652445626953712,,,,,,,0.6237113402061856,0.1111111111111111,0.0853615520282187,-0.05192628172426151,,
article_text_classification_e2e_with_shuffled_control_v1,qwen,corine_level2,summary_no_place_shuffled,recommended_use_training,195,False,balanced_accuracy,0.056171037811184696,0.05831025383965042,-0.002139216028465722,195,0,1.0,0.15384615384615385,0.056171037811184696,0.11321548821548823,0.056171037811184696,0.06010631269612135,0.22742377081618168,,,,,,,0.6615384615384615,0.1111111111111111,0.08847736625514403,-0.05494007329992641,,
article_text_classification_e2e_with_shuffled_control_v1,qwen,corine_level2,summary_no_place_shuffled,recommended_use_evaluation_only,126,False,balanced_accuracy,0.06676093170346044,0.05831025383965042,0.00845067786381002,126,0,1.0,0.1111111111111111,0.06676093170346044,0.1259920634920635,0.06676093170346044,0.06374540649902968,0.16299452024089706,,,,,,,0.4603174603174603,0.1111111111111111,0.07004830917874397,-0.04435017940765067,,
article_text_classification_e2e_with_shuffled_control_v1,qwen,corine_level2,summary_no_place_shuffled,recommended_use_exclude,451,False,balanced_accuracy,0.053599735078621924,0.05831025383965042,-0.004710518761028494,451,0,1.0,0.08425720620842572,0.053599735078621924,0.08237872817493866,0.053599735078621924,0.060181022900596536,0.10408401913330427,,,,,,,0.29046563192904656,0.1111111111111111,0.050019091256204656,-0.05751137603248918,,
article_text_classification_e2e_with_shuffled_control_v1,qwen,corine_level2,summary_no_place_shuffled,article_type_agriculture_or_vineyard,34,False,balanced_accuracy,0.011111111111111112,0.05831025383965042,-0.047199142728539305,34,0,1.0,0.08823529411764706,0.011111111111111112,0.08333333333333333,0.011111111111111112,0.0196078431372549,0.15570934256055366,,,,,,,0.8823529411764706,0.1111111111111111,0.10416666666666667,-0.09999999999999999,,
article_text_classification_e2e_with_shuffled_control_v1,qwen,corine_level2,summary_no_place_shuffled,article_type_natural_landscape,115,False,balanced_accuracy,0.04938271604938272,0.05831025383965042,-0.008927537790267698,115,0,1.0,0.09565217391304348,0.04938271604938272,0.10428849902534114,0.04938271604938272,0.05539008273640958,0.13693918258262172,,,,,,,0.5478260869565217,0.1111111111111111,0.07865168539325842,-0.061728395061728385,,
article_text_classification_e2e_with_shuffled_control_v1,qwen,corine_level2,summary_no_place_shuffled,article_type_water_feature,36,False,balanced_accuracy,0.024691358024691357,0.05831025383965042,-0.03361889581495906,36,0,1.0,0.1111111111111111,0.024691358024691357,0.06349206349206349,0.024691358024691357,0.035555555555555556,0.16,,,,,,,0.5,0.1111111111111111,0.07407407407407407,-0.08641975308641975,,
article_text_classification_e2e_with_shuffled_control_v1,qwen,corine_level2,summary_no_place_shuffled,article_type_settlement_or_administrative,284,False,balanced_accuracy,0.06974286096367599,0.05831025383965042,0.011432607124025572,284,0,1.0,0.1267605633802817,0.06974286096367599,0.13005662614358265,0.06974286096367599,0.08826826939514094,0.16606261551446846,,,,,,,0.28169014084507044,0.1111111111111111,0.04884004884004884,-0.041368250147435115,,
article_text_classification_e2e_with_shuffled_control_v1,qwen,corine_level2,summary_no_place_shuffled,article_type_built_or_cultural_site,94,False,balanced_accuracy,0.05964052287581699,0.05831025383965042,0.0013302690361665717,94,0,1.0,0.14893617021276595,0.05964052287581699,0.1111111111111111,0.05964052287581699,0.06011332840601133,0.21729490022172954,,,,,,,0.723404255319149,0.1111111111111111,0.09327846364883402,-0.051470588235294115,,
article_text_classification_e2e_with_shuffled_control_v1,qwen,corine_level2,summary_no_place_shuffled,article_type_other_or_unclear,672,False,balanced_accuracy,0.04695004241543842,0.05831025383965042,-0.011360211424212,672,0,1.0,0.07738095238095238,0.04695004241543842,0.07625655078482604,0.04695004241543842,0.05468251648295375,0.09881905017417296,,,,,,,0.39732142857142855,0.1111111111111111,0.06318778842740504,-0.06416106869567269,,
article_text_classification_e2e_with_shuffled_control_v1,qwen,corine_level2,summary_no_place_shuffled,article_type_high_prior,185,False,balanced_accuracy,0.05492349557138502,0.05831025383965042,-0.0033867582682653996,185,0,1.0,0.0972972972972973,0.05492349557138502,0.09497354497354499,0.05492349557138502,0.06047576263209686,0.13272195568691525,,,,,,,0.44324324324324327,0.1111111111111111,0.06824802330420307,-0.056187615539726087,,
article_text_classification_e2e_with_shuffled_control_v1,qwen,corine_level2,summary_no_place_shuffled,article_type_high_prior_and_relevance_medium_high,159,False,balanced_accuracy,0.057836328976034856,0.05831025383965042,-0.0004739248636155616,159,0,1.0,0.10062893081761007,0.057836328976034856,0.09768009768009768,0.057836328976034856,0.0642245301753898,0.1338984775877714,,,,,,,0.4025157232704403,0.1111111111111111,0.0637767812655705,-0.05327478213507625,,
article_text_classification_e2e_with_shuffled_control_v1,qwen,corine_level2,summary_no_place_shuffled,other_or_unclear_and_relevance_medium_high,263,False,balanced_accuracy,0.03683385184933172,0.05831025383965042,-0.0214764019903187,263,0,1.0,0.08745247148288973,0.03683385184933172,0.08129441514757466,0.03683385184933172,0.0431970848984051,0.12829416747697708,,,,,,,0.5171102661596958,0.1111111111111111,0.075744917850181,-0.07427725926177939,,
article_text_classification_e2e_with_shuffled_control_v1,qwen,corine_level2,summary_no_place_shuffled,article_type_high_prior_and_relevance_medium_high_and_spatial_250m_ge_0.8,90,False,balanced_accuracy,0.08637347992670331,0.05831025383965042,0.028063226087052896,90,0,1.0,0.13333333333333333,0.08637347992670331,0.11626984126984125,0.08637347992670331,0.06616616616616616,0.19225225225225226,,,,,,,0.5111111111111111,0.1111111111111111,0.07516339869281047,-0.02473763118440779,,
article_text_classification_e2e_with_shuffled_control_v1,qwen,corine_level2,summary_no_place_shuffled,other_or_unclear_and_relevance_medium_high_and_spatial_250m_ge_0.8,164,False,balanced_accuracy,0.03157988906781178,0.05831025383965042,-0.02673036477183864,164,0,1.0,0.11585365853658537,0.03157988906781178,0.10690615427457534,0.03157988906781178,0.043187564567909655,0.18678810500851378,,,,,,,0.6585365853658537,0.1111111111111111,0.08823529411764705,-0.07953122204329932,,
article_text_classification_e2e_with_shuffled_control_v1,qwen,corine_level2,summary_shuffled,all,1251,False,balanced_accuracy,0.0632922316595847,0.0632922316595847,0.0,1251,0,1.0,0.1079136690647482,0.0632922316595847,0.09446123308203155,0.0632922316595847,0.07049693431828868,0.1314272354500885,,,,,,,0.37889688249400477,0.1111111111111111,0.061062801932367156,-0.04781887945152641,,
article_text_classification_e2e_with_shuffled_control_v1,qwen,corine_level2,summary_shuffled,point_label_share_250m_ge_0.8,646,False,balanced_accuracy,0.07640498047905456,0.0632922316595847,0.01311274881946986,646,0,1.0,0.11919504643962849,0.07640498047905456,0.11028370860460562,0.07640498047905456,0.0718327049319708,0.1453965360493905,,,,,,,0.5015479876160991,0.1111111111111111,0.07422680412371134,-0.03470613063205655,,
article_text_classification_e2e_with_shuffled_control_v1,qwen,corine_level2,summary_shuffled,point_label_share_500m_ge_0.8,419,False,balanced_accuracy,0.08303179564901646,0.0632922316595847,0.01973956398943176,419,0,1.0,0.13842482100238662,0.08303179564901646,0.12976190476190477,0.08303179564901646,0.0748683904029816,0.18409310377608662,,,,,,,0.6587112171837709,0.1111111111111111,0.08824940047961631,-0.028079315462094648,,
article_text_classification_e2e_with_shuffled_control_v1,qwen,corine_level2,summary_shuffled,point_label_share_250m_ge_0.9,518,False,balanced_accuracy,0.07360155224562004,0.0632922316595847,0.010309320586035342,518,0,1.0,0.12548262548262548,0.07360155224562004,0.11812944551039789,0.07360155224562004,0.0704467407738999,0.15900828039304846,,,,,,,0.5694980694980695,0.1111111111111111,0.08063413967473008,-0.037509558865491066,,
article_text_classification_e2e_with_shuffled_control_v1,qwen,corine_level2,summary_shuffled,dominant_matches_point_label_250m,1082,False,balanced_accuracy,0.06547653507019968,0.0632922316595847,0.002184303410614985,1082,0,1.0,0.10905730129390019,0.06547653507019968,0.09629206119274858,0.06547653507019968,0.07103523367233767,0.1323863101454463,,,,,,,0.40942698706099817,0.1111111111111111,0.06455373406193078,-0.04563457604091142,,
article_text_classification_e2e_with_shuffled_control_v1,qwen,corine_level2,summary_shuffled,dominant_matches_point_label_500m,968,False,balanced_accuracy,0.06371368647002747,0.0632922316595847,0.0004214548104427701,968,0,1.0,0.10743801652892562,0.06371368647002747,0.09841866494890683,0.06371368647002747,0.06608227571710616,0.13462886593549794,,,,,,,0.4524793388429752,0.1111111111111111,0.06922712185870081,-0.04739742464108364,,
article_text_classification_e2e_with_shuffled_control_v1,qwen,corine_level2,summary_shuffled,relevance_medium_high,576,False,balanced_accuracy,0.058641741231012484,0.0632922316595847,-0.004650490428572213,576,0,1.0,0.10416666666666667,0.058641741231012484,0.09612193144253355,0.058641741231012484,0.06337075904110659,0.1360913657636264,,,,,,,0.4392361111111111,0.1111111111111111,0.06781932716793995,-0.05246936988009862,,
article_text_classification_e2e_with_shuffled_control_v1,qwen,corine_level2,summary_shuffled,relevance_high,296,False,balanced_accuracy,0.04949252101972911,0.0632922316595847,-0.013799710639855585,296,0,1.0,0.08108108108108109,0.04949252101972911,0.08612515280668714,0.04949252101972911,0.05636278518093777,0.10512920292788007,,,,,,,0.30743243243243246,0.1111111111111111,0.05225380419178868,-0.06161859009138199,,
article_text_classification_e2e_with_shuffled_control_v1,qwen,corine_level2,summary_shuffled,evidence_sentences_count_ge_1,808,False,balanced_accuracy,0.06170672057066159,0.0632922316595847,-0.0015855110889231097,808,0,1.0,0.10396039603960396,0.06170672057066159,0.09516943337808641,0.06170672057066159,0.06395334355232966,0.1322159549658112,,,,,,,0.46163366336633666,0.1111111111111111,0.07018534198889831,-0.04940439054044952,,
