parent_experiment_id,model_key,task,text_source,subset_name,control_type,status,n,unstable_small_n,primary_metric,observed_score,random_mean,random_std,random_min,random_max,random_p02_5,random_p50,random_p97_5,observed_minus_random_mean,observed_percentile,empirical_p_greater_equal,n_draws_requested,n_draws_successful
article_text_classification_e2e_with_shuffled_control_v1,qwen,corine_level2,summary_shuffled,article_type_settlement_or_administrative,random_same_n,ok,284,False,balanced_accuracy,0.08269666332006587,0.06330466438280687,0.011131832180002996,0.027352064708386543,0.09989284103311996,0.04350652508618815,0.06289466029343432,0.08592897664981944,0.019391998937259,95.0,0.05094905094905095,1000,1000
article_text_classification_e2e_with_shuffled_control_v1,qwen,corine_level2,summary_shuffled,article_type_built_or_cultural_site,random_same_n,ok,94,False,balanced_accuracy,0.09738562091503268,0.06445424353890138,0.021871519708417823,0.013943355119825708,0.20307734204793026,0.028320024246257642,0.06281344143186249,0.11055463507766135,0.032931377376131304,93.30000000000001,0.06793206793206794,1000,1000
article_text_classification_e2e_with_shuffled_control_v1,qwen,corine_level2,summary_shuffled,article_type_other_or_unclear,random_same_n,ok,672,False,balanced_accuracy,0.04918802721636459,0.06295694738667314,0.005597548803448483,0.046223126111966245,0.0815422266732548,0.0515849650776512,0.06289198127759009,0.07416853916211807,-0.013768920170308549,0.6,0.994005994005994,1000,1000
article_text_classification_e2e_with_shuffled_control_v1,qwen,corine_level2,summary_shuffled,article_type_high_prior,random_same_n,ok,185,False,balanced_accuracy,0.04076786897899939,0.06347044364476823,0.014901551209047056,0.016256085732312534,0.18890358612580835,0.035815185000668874,0.0634119436579017,0.09235940354402629,-0.02270257466576884,5.3,0.9470529470529471,1000,1000
article_text_classification_e2e_with_shuffled_control_v1,qwen,corine_level2,summary_shuffled,article_type_high_prior_and_relevance_medium_high,random_same_n,ok,159,False,balanced_accuracy,0.03952205882352941,0.06401223711166337,0.016022116718934238,0.02425952803311294,0.12528446265005405,0.036717062190675664,0.06303306182962629,0.10152242241224887,-0.024490178288133962,4.6,0.954045954045954,1000,1000
article_text_classification_e2e_with_shuffled_control_v1,qwen,corine_level2,summary_shuffled,other_or_unclear_and_relevance_medium_high,random_same_n,ok,263,False,balanced_accuracy,0.05214991979697862,0.0634437383207406,0.011120603932325265,0.02458869760849959,0.0996513979847313,0.04314125810321863,0.0631349005447053,0.08553858302251462,-0.011293818523761982,15.0,0.8501498501498501,1000,1000
article_text_classification_e2e_with_shuffled_control_v1,qwen,corine_level2,summary_shuffled,article_type_high_prior_and_relevance_medium_high_and_spatial_250m_ge_0.8,random_same_n,ok,90,False,balanced_accuracy,0.022155588872230552,0.06141966766465487,0.022132329187122574,0.0028490028490028487,0.17397186147186147,0.024062881562881562,0.06050671869637387,0.10580414705414704,-0.039264078792424315,1.6,0.984015984015984,1000,1000
article_text_classification_e2e_with_shuffled_control_v1,qwen,corine_level2,summary_shuffled,other_or_unclear_and_relevance_medium_high_and_spatial_250m_ge_0.8,random_same_n,ok,164,False,balanced_accuracy,0.07026301663982823,0.06316648480538828,0.015924667016502195,0.025185185185185185,0.17663048577034307,0.03512860260399114,0.061973867531943755,0.09787336022804392,0.007096531834439951,71.8,0.2827172827172827,1000,1000
article_text_classification_e2e_with_shuffled_control_v1,qwen,osm,content,all,random_same_n,ok,275,False,jaccard,0.18969696969696972,0.1896969696969697,1.642041997679149e-17,0.18969696969696967,0.18969696969696972,0.18969696969696967,0.1896969696969697,0.18969696969696972,2.7755575615628914e-17,100.0,1.0,1000,1000
article_text_classification_e2e_with_shuffled_control_v1,qwen,osm,content,point_label_share_250m_ge_0.8,random_same_n,ok,160,False,jaccard,0.2453125,0.18941302083333328,0.01881946097192668,0.11927083333333333,0.2635416666666667,0.15364583333333331,0.18958333333333333,0.22605468750000002,0.05589947916666671,99.9,0.001998001998001998,1000,1000
article_text_classification_e2e_with_shuffled_control_v1,qwen,osm,content,point_label_share_500m_ge_0.8,random_same_n,ok,124,False,jaccard,0.23655913978494622,0.19047244623655912,0.02443321470553505,0.10080645161290322,0.28494623655913975,0.14448924731182794,0.19018817204301078,0.23924731182795697,0.0460866935483871,97.0,0.030969030969030968,1000,1000
article_text_classification_e2e_with_shuffled_control_v1,qwen,osm,content,point_label_share_250m_ge_0.9,random_same_n,ok,140,False,jaccard,0.2297619047619048,0.18931369047619045,0.022229116985070303,0.10119047619047618,0.2648809523809524,0.1464136904761905,0.18988095238095234,0.2309523809523809,0.04044821428571435,97.2,0.029970029970029972,1000,1000
article_text_classification_e2e_with_shuffled_control_v1,qwen,osm,content,dominant_matches_point_label_250m,random_same_n,ok,251,False,jaccard,0.200863213811421,0.18956872509960157,0.007284461654766465,0.16500664010624172,0.20783532536520583,0.17397078353253653,0.1895750332005312,0.20252324037184594,0.011294488711819428,95.8,0.04795204795204795,1000,1000
article_text_classification_e2e_with_shuffled_control_v1,qwen,osm,content,dominant_matches_point_label_500m,random_same_n,ok,218,False,jaccard,0.2136850152905199,0.1895118501529052,0.01157998749382339,0.1521406727828746,0.22553516819571864,0.16666666666666666,0.1899847094801223,0.21100917431192662,0.024173165137614694,98.6,0.016983016983016984,1000,1000
article_text_classification_e2e_with_shuffled_control_v1,qwen,osm,content,relevance_medium_high,random_same_n,ok,153,False,jaccard,0.23638344226579514,0.18983006535947713,0.02057159487056661,0.13071895424836602,0.25217864923747274,0.14813453159041393,0.1900871459694989,0.22984749455337689,0.046553376906318,98.9,0.011988011988011988,1000,1000
article_text_classification_e2e_with_shuffled_control_v1,qwen,osm,content,relevance_high,random_same_n,ok,63,False,jaccard,0.2883597883597884,0.19139947089947087,0.04210824206065489,0.06349206349206349,0.32275132275132273,0.1111111111111111,0.19047619047619047,0.2777777777777778,0.09696031746031755,99.2,0.01098901098901099,1000,1000
article_text_classification_e2e_with_shuffled_control_v1,qwen,osm,content,evidence_sentences_count_ge_1,random_same_n,ok,209,False,jaccard,0.1993620414673046,0.1893504784688995,0.0128686313403717,0.14035087719298245,0.22647527910685802,0.16506180223285485,0.18899521531100477,0.21371610845295055,0.01001156299840511,77.7,0.23376623376623376,1000,1000
article_text_classification_e2e_with_shuffled_control_v1,qwen,osm,content,evidence_sentences_count_ge_2,random_same_n,ok,204,False,jaccard,0.2042483660130719,0.18930514705882354,0.013337724444484104,0.1409313725490196,0.23080065359477123,0.16339869281045752,0.1895424836601307,0.21365400326797387,0.014943218954248355,87.2,0.13586413586413587,1000,1000
article_text_classification_e2e_with_shuffled_control_v1,qwen,osm,content,uncertainty_low,random_same_n,ok,166,False,jaccard,0.22088353413654613,0.19014357429718876,0.01845846906437041,0.1365461847389558,0.2580321285140562,0.15259789156626505,0.1897590361445783,0.22692018072289158,0.030739959839357373,95.0,0.054945054945054944,1000,1000
