conclusion_flag,model_key,n,observed_exact_match_accuracy,observed_score,parent_experiment_id,primary_metric,random_same_n_95_interval,random_same_n_mean,random_same_n_percentile,random_target_matched_95_interval,random_target_matched_mean,random_target_matched_percentile,subset_name,task,text_source,unstable_small_n
beats_target_matched,gemma,321,,0.38442167310086295,article_text_classification_e2e_with_shuffled_control_v1__gemma4_31b_it_q4_0,balanced_accuracy,"[0.2321, 0.3085]",0.271021526807743,100.0,"[0.2304, 0.3150]",0.2718590887760714,100.0,relevance_medium_high_and_spatial_250m_ge_0.8,corine_level2,content,False
beats_target_matched,gemma,388,,0.3750374765526281,article_text_classification_e2e_with_shuffled_control_v1__gemma4_31b_it_q4_0,balanced_accuracy,"[0.2373, 0.3064]",0.2711851993301945,100.0,"[0.2312, 0.3139]",0.27167013975549326,100.0,quality_high_or_very_high_and_spatial_250m_ge_0.8,corine_level2,content,False
beats_target_matched,gemma,195,,0.3376832062266579,article_text_classification_e2e_with_shuffled_control_v1__gemma4_31b_it_q4_0,balanced_accuracy,"[0.2165, 0.3277]",0.27204261549475744,99.0,"[0.2073, 0.3344]",0.2697094362072942,97.8,recommended_use_training,corine_level2,content,False
beats_target_matched,gemma,126,,0.4719546311500334,article_text_classification_e2e_with_shuffled_control_v1__gemma4_31b_it_q4_0,balanced_accuracy,"[0.1918, 0.3371]",0.2704831348511473,100.0,"[0.2023, 0.3586]",0.2707134829410692,100.0,recommended_use_evaluation_only,corine_level2,content,False
beats_target_matched,gemma,646,,0.2556440404588553,article_text_classification_e2e_with_shuffled_control_v1__gemma4_31b_it_q4_0,balanced_accuracy,"[0.2022, 0.2458]",0.2237252062938018,99.8,"[0.1879, 0.2552]",0.2233851670962782,97.7,point_label_share_250m_ge_0.8,corine_level2,summary_no_place,False
beats_target_matched,gemma,576,,0.29153906759147796,article_text_classification_e2e_with_shuffled_control_v1__gemma4_31b_it_q4_0,balanced_accuracy,"[0.1990, 0.2491]",0.2238305006608825,100.0,"[0.2029, 0.2418]",0.22296392212560737,100.0,relevance_medium_high,corine_level2,summary_no_place,False
beats_target_matched,gemma,321,,0.2959527366441556,article_text_classification_e2e_with_shuffled_control_v1__gemma4_31b_it_q4_0,balanced_accuracy,"[0.1831, 0.2600]",0.22249960743881997,100.0,"[0.1819, 0.2613]",0.22192886192079242,100.0,relevance_medium_high_and_spatial_250m_ge_0.8,corine_level2,summary_no_place,False
beats_target_matched,gemma,388,,0.28771292306645846,article_text_classification_e2e_with_shuffled_control_v1__gemma4_31b_it_q4_0,balanced_accuracy,"[0.1874, 0.2559]",0.2227359206177453,100.0,"[0.1843, 0.2635]",0.2233869971405325,99.8,quality_high_or_very_high_and_spatial_250m_ge_0.8,corine_level2,summary_no_place,False
not_distinguishable,gemma,195,,0.27267280579704084,article_text_classification_e2e_with_shuffled_control_v1__gemma4_31b_it_q4_0,balanced_accuracy,"[0.1641, 0.2806]",0.22378257481675462,96.0,"[0.1556, 0.2792]",0.22164087537592742,95.39999999999999,recommended_use_training,corine_level2,summary_no_place,False
beats_target_matched,gemma,126,,0.35249954387885424,article_text_classification_e2e_with_shuffled_control_v1__gemma4_31b_it_q4_0,balanced_accuracy,"[0.1418, 0.3008]",0.22240631290312463,99.6,"[0.1592, 0.2907]",0.2222883232986681,100.0,recommended_use_evaluation_only,corine_level2,summary_no_place,False
not_distinguishable,gemma,160,0.25625,0.2864583333333333,article_text_classification_e2e_with_shuffled_control_v1__gemma4_31b_it_q4_0,jaccard,"[0.2090, 0.2887]",0.25159489583333333,96.39999999999999,"[0.2495, 0.3092]",0.28136625,61.4,point_label_share_250m_ge_0.8,osm,content,False
below_random,gemma,153,0.19607843137254902,0.2467320261437908,article_text_classification_e2e_with_shuffled_control_v1__gemma4_31b_it_q4_0,jaccard,"[0.2108, 0.2942]",0.2509454248366013,43.3,"[0.2388, 0.3056]",0.2722061002178649,8.0,relevance_medium_high,osm,content,False
not_distinguishable,gemma,92,0.2608695652173913,0.29438405797101447,article_text_classification_e2e_with_shuffled_control_v1__gemma4_31b_it_q4_0,jaccard,"[0.1882, 0.3214]",0.25387608695652175,88.5,"[0.2451, 0.3489]",0.2953585144927537,48.199999999999996,relevance_medium_high_and_spatial_250m_ge_0.8,osm,content,False
not_distinguishable,gemma,110,0.23636363636363636,0.2689393939393939,article_text_classification_e2e_with_shuffled_control_v1__gemma4_31b_it_q4_0,jaccard,"[0.1904, 0.3130]",0.2521892424242424,70.6,"[0.2501, 0.3479]",0.29970181818181824,10.9,quality_high_or_very_high_and_spatial_250m_ge_0.8,osm,content,False
below_random,gemma,67,0.22388059701492538,0.24925373134328357,article_text_classification_e2e_with_shuffled_control_v1__gemma4_31b_it_q4_0,jaccard,"[0.1714, 0.3371]",0.25199925373134324,48.9,"[0.1920, 0.3363]",0.26551915422885575,32.6,recommended_use_training,osm,content,False
not_distinguishable,gemma,25,0.36,0.4153333333333334,article_text_classification_e2e_with_shuffled_control_v1__gemma4_31b_it_q4_0,jaccard,"[0.1133, 0.4280]",0.25829,96.7,"[0.2773, 0.5013]",0.38461266666666666,69.89999999999999,recommended_use_evaluation_only,osm,content,True
not_distinguishable,gemma,160,0.28125,0.3,article_text_classification_e2e_with_shuffled_control_v1__gemma4_31b_it_q4_0,jaccard,"[0.2156, 0.3002]",0.25808145833333335,97.1,"[0.2583, 0.3240]",0.29017291666666667,73.9,point_label_share_250m_ge_0.8,osm,summary_no_place,False
not_distinguishable,gemma,153,0.2679738562091503,0.28431372549019607,article_text_classification_e2e_with_shuffled_control_v1__gemma4_31b_it_q4_0,jaccard,"[0.2092, 0.3042]",0.25774117647058825,87.0,"[0.2320, 0.2996]",0.26561220043572986,87.1,relevance_medium_high,osm,summary_no_place,False
not_distinguishable,gemma,92,0.29347826086956524,0.31521739130434784,article_text_classification_e2e_with_shuffled_control_v1__gemma4_31b_it_q4_0,jaccard,"[0.1902, 0.3315]",0.2583525362318841,94.0,"[0.2319, 0.3515]",0.2902101449275363,81.89999999999999,relevance_medium_high_and_spatial_250m_ge_0.8,osm,summary_no_place,False
beats_same_n,gemma,110,0.3,0.32272727272727275,article_text_classification_e2e_with_shuffled_control_v1__gemma4_31b_it_q4_0,jaccard,"[0.1909, 0.3185]",0.2556957575757576,97.89999999999999,"[0.2620, 0.3591]",0.3107287878787879,70.1,quality_high_or_very_high_and_spatial_250m_ge_0.8,osm,summary_no_place,False
not_distinguishable,gemma,67,0.26865671641791045,0.2835820895522388,article_text_classification_e2e_with_shuffled_control_v1__gemma4_31b_it_q4_0,jaccard,"[0.1692, 0.3507]",0.25820398009950246,71.7,"[0.2090, 0.3557]",0.28254975124378107,53.300000000000004,recommended_use_training,osm,summary_no_place,False
not_distinguishable,gemma,25,0.36,0.4,article_text_classification_e2e_with_shuffled_control_v1__gemma4_31b_it_q4_0,jaccard,"[0.1200, 0.4400]",0.2638586666666667,95.0,"[0.2200, 0.4333]",0.3154266666666667,95.0,recommended_use_evaluation_only,osm,summary_no_place,True
